Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Cameron Repetti,22,GGC,CAC,NAIA,12,,1,.923,3.98,5.16,16,16,,2,,0,83.2,89,48,37,9,16,,89,,,,,1.255,9.6,1.0,1.7,9.6,5.56
Grant Rogers,22,MSU,SLC,NCAA,12,,1,.923,1.82,2.08,15,15,,4,2,0,103.2,79,24,21,4,18,0,88,10,0,5,403,0.936,6.9,0.3,1.6,7.6,4.89
Luke Short,20,SEU,LSC,NCAA,12,,1,.923,2.45,3.26,16,15,,5,1,0,99.1,84,36,27,6,27,1,130,4,0,4,410,1.117,7.6,0.5,2.4,11.8,4.81
Payne Stolsworth,--,NCW,USAS,NCAA,12,,0,1.000,1.96,2.41,15,14,,4,2,0,101.0,73,27,22,3,37,0,100,16,2,9,419,1.089,6.5,0.3,3.3,8.9,2.70
Bobby Vath,23,LSS,RRAC,NAIA,12,,2,.857,2.93,3.64,15,13,,2,,0,76.2,56,31,25,9,16,,81,,,,,0.939,6.6,1.1,1.9,9.5,5.06
Garrett DeClue,23,UCU,MSC,NAIA,11,,0,1.000,4.08,4.78,14,12,,0,,0,64.0,50,34,29,8,33,,82,,,,,1.297,7.0,1.1,4.6,11.5,2.48
Mitch Farris,22,WGT,SAC,NCAA,11,,1,.917,1.21,1.21,13,12,,3,2,0,89.0,39,12,12,3,16,0,127,3,0,5,324,0.618,3.9,0.3,1.6,12.8,7.94
Connor Fenlong,23,ISU,MVC,NCAA,11,,3,.786,3.45,3.69,17,16,,4,4,0,114.2,93,47,44,11,31,0,76,9,0,2,463,1.081,7.3,0.9,2.4,6.0,2.45
Gabriel Figueroa,--,SCC,SOAC,NAIA,11,,2,.846,4.13,4.68,16,16,,4,,0,98.0,86,51,45,10,18,,131,,,,,1.061,7.9,0.9,1.7,12.0,7.28
Tanner Folds,--,SHC,GSC,NCAA,11,,5,.688,2.36,3.45,20,14,,6,4,2,91.1,67,35,24,9,26,1,59,7,1,5,369,1.018,6.6,0.9,2.6,5.8,2.27
Tyler Gray,--,TMC,APAC,NAIA,11,,2,.846,4.88,5.74,16,15,,3,,0,94.0,110,60,51,7,22,,35,,,,,1.404,10.5,0.7,2.1,3.4,1.59
Anthony Green,--,MBU,AMWC,NAIA,11,,2,.846,3.52,4.11,15,13,,1,,0,76.2,54,35,30,6,36,,117,,,,,1.174,6.3,0.7,4.2,13.7,3.25
Tanner Halvorson,24,BRT,CCar,NCAA,11,,2,.846,1.71,2.08,14,14,,10,1,0,95.0,78,22,18,6,12,1,79,5,2,1,374,0.947,7.4,0.6,1.1,7.5,6.58
Josh Hartle,20,WKF,ACC,NCAA,11,,2,.846,2.81,3.34,18,17,,0,0,0,102.1,91,38,32,11,24,1,140,5,1,8,419,1.124,8.0,1.0,2.1,12.3,5.83
Beau Hebert,--,LAC,RRAC,NAIA,11,,3,.786,3.03,3.35,18,16,,2,,0,86.0,73,32,29,5,29,,86,,,,,1.186,7.6,0.5,3.0,9.0,2.97
Tyler Horvat,22,WJC,PRES,NCAA,11,,3,.786,3.86,3.95,15,15,,4,1,0,93.1,84,41,40,5,21,0,82,8,0,7,392,1.125,8.1,0.5,2.0,7.9,3.90
Tyson Kleinfelter,24,CMI,WHAC,NAIA,11,,1,.917,2.77,3.12,13,13,,2,,0,78.0,65,27,24,2,48,,103,,,,,1.449,7.5,0.2,5.5,11.9,2.15
Matthew Marchal,22,WOF,SoCo,NCAA,11,,4,.733,4.58,5.46,20,19,,2,0,1,92.1,92,56,47,17,22,0,93,3,1,8,399,1.235,9.0,1.7,2.1,9.1,4.23
Michael Mendoza,--,OWU,KCAC,NAIA,11,,4,.733,4.48,4.82,15,15,,2,,0,80.1,75,43,40,12,23,,72,,,,,1.220,8.4,1.3,2.6,8.1,3.13
Garrett Miller,--,Big,OHAC,NCAA,11,,0,1.000,3.84,3.95,22,7,,0,0,2,86.2,80,38,37,8,26,1,77,8,0,3,368,1.223,8.3,0.8,2.7,8.0,2.96
Seth Miller,23,ASD,NSUN,NCAA,11,,2,.846,3.09,3.35,17,15,,3,0,1,102.0,93,38,35,7,27,1,93,11,2,9,429,1.176,8.2,0.6,2.4,8.2,3.44
Brandon Mitchell,23,UNO,SLC,NCAA,11,,3,.786,3.65,4.01,16,16,,4,0,0,101.0,82,45,41,7,28,0,88,12,0,3,407,1.089,7.3,0.6,2.5,7.8,3.14
Aaron Munson,21,ASU,LSC,NCAA,11,,2,.846,3.63,3.90,18,18,,1,0,0,101.2,86,44,41,6,25,0,115,5,0,4,416,1.092,7.6,0.5,2.2,10.2,4.60
Aiden Phipps,--,BLC,MDWC,NCAA,11,,0,1.000,3.74,4.54,14,12,,1,0,1,79.1,76,40,33,7,23,0,49,5,0,2,335,1.248,8.6,0.8,2.6,5.6,2.13
